Book,Author(s),Original language,First published,Genre,Approximate sales,Subjects,Book_Type,Book word common for the dataset,From top 200 words,Majority_Book_Type,Raw Subjects
I Am America (And So Can You!),"Stephen Colbert, Richard Dahm, Paul Dinello, Allison Silverman, Michael Brumm, Eric Drydale, Rob Dubbin, Glenn Eichler, Peter Grosz, Peter Gwinn, Jay Katsir, Laura Krafft, Frank Lesser, Tom Purcell",en-US,2007,['genre fiction'],47520,"american, humor",Non-fiction,humor,"american, humor",Fiction,"Politics and government, Humor, Television comedies, Nonfiction, Colbert Report (Television program), Politics, Comedy television programs, Humor (Nonfiction), American wit and humor"
The One Minute Manager,"Kenneth H. Blanchard, Spencer Johnson",en-US,1981,['children'],47520,,Unknown,management,,Uncategorized,"Management, Administración, Direction, Gestion, Personnel, Gestion d'entreprise, Administracao, Employe s., Motivations, Manuels, Organization and Administration, Ressources humaines, Gestion du personnel, Employés, Personnel management, MANAGEMENT"
Exodus,Leon Uris,eng,1958,['genre fiction'],47304,"african, american, american, aspects, bible, bible, biography, boys, british, children, children, religion, conduct, contemporary, criticism, english, family, girls, great, history, translation, into, youth, youth, language, large, life, love, manuscripts, men, family, narratives, new, people, people, pour, reading, reading, religion, specimens, stories, education, education, youth, the, translation, type, women, works, world, youth",Unknown,large type books,"african, american, americans, aspects, bible, bibles, biography, boys, britain, children, childrens, christian, conduct, contemporary, criticism, english, families, girls, great, history, interpretation, into, jeunesse, juvenile, language, large, life, love, manuscripts, men, mothers, narratives, new, people, personal, pour, readers, reading, religious, specimens, stories, study, teaching, teenage, the, translations, type, women, works, world, youth",Fiction,"Manuscripts, Latin (Medieval and modern), Glossaries, vocabularies, Early works to 1800, Bible, Religion, Bibles, Biblical Studies - General, Religion / Bible / General, Bible - General, Commentaries, Authorized, Criticism, interpretation, Shorthand, Sacred books, Church of Jesus Christ of Latter-day Saints, BÍBLIA (INTERPRETAÇÃO), Juvenile literature, The Bible, Biblia, Christian life, Study and teaching, English Concordances, Bible, study and teaching, Jews, Antiquities, Apocryphal books (Old Testament), Education, Doctrines, Spiritual life, Religious life, New Testament, Peshitta, English Harmonies, Bible, commentaries, Introductions, Biography, Creation, Biblical teaching, History, Bible, criticism, interpretation, etc., Catholic Truth Society (Great Britain), Church year meditations, Lectionaries, Bible, theology, Bibel, Bijbel, Christianity, Spirituality, Bible. -- Old Testament, Bible. -- New Testament, Teenagers' use, English Bible stories, Bible stories, Bible--Study and teaching--Catholic Church, Catholic youth--Religious life, Catholic youth, Devotional calendars, Christian women, Prayers and devotions, Women -- Prayer-books and devotions -- English, Devotional exercises, Couples, Prayer-books and devotions, Devotional use, Older Christians, Bible, meditations, Older people, prayers and devotions, Meditations, Twelve-step programs, Conduct of life, Prayer books and devotions, Teenagers, Amplified, Men's Bible, Twelve-step programs -- Religious aspects -- Christianity -- Meditations, Bible -- Meditations, Women, Mothers, Sources, Specimens, Bibles - Living, Religious aspects, Teenage girls, Devotional literature, Men, Church group work with men, Study skills, Children, Children's use, Blacks in the Bible, Bibles, english standard version, study, Faith, Theology, Chronology, Bible - Reference Editions, Bible, versions, Bibles, other english translations, study, Bibles, new international version, youth & teen, Bibles, new king james version, youth & teen, Bibles, king james version, study, Bibles, christian standard bible, youth & teen, Spiritual life, christianity, Bibles, other english translations, youth & teen, Bible, study, Commentaires, Methodist Church, Holy Bible, study bible, Bibles, new revised standard version, study, BIBLES / New Revised Standard Version / Study, RELIGION / Biblical Criticism & Interpretation / General, Evidences, authority, Creationism, Bible - Evidences, authority, Bible - Study and teaching, Authority, Christian leadership, Women in the Bible, Juvenile, Bible Study Guide, God, knowableness, Bible, criticism, interpretation, etc., n. t. epistles, Jerusalem, O.T., English Paraphrases, Paraphrases, Religion - Bibles - General, Bible - Stories - Old Testament, Paraphrases, English, Students, History of Biblical events, Children, religious life, In literature, Bible, commentaries, o. t. apocrypha, Characters, Characters and characteristics, Parenting, Moral and ethical aspects, Parents, Geography, Evidence, Apologetics, Missions, Boys, Bible -- Study and teaching, Versiones, Indexes, Teenage boys, Girls, Personal narratives, Pentecostalism, Episcopalians, Earthquakes, Youth, Reference, Deuterocanonieke boeken, Oude Testament, Nieuwe Testament, Bible. O.T. Apocrypha, Apocrypha, Critique, interprétation, Comentarios, Reader Development Collection, Bibles, god's word, text, Abridgements, God, Literal Translations, Literal Translation, Literal Bible, New World, Psalters, collectionID:KellerChallenge, Women Biblical scholars, collectionID:EanesChallenge, Étude et enseignement, Almanachs spirituels, Forecasting, Forecasts, Bible, reading, Reference books, Women, religious life, Religion and theology, Children, juvenile literature, Livres en gros caractères, Éditions de référence, Bible, chronology, Bible, use, Quotations, Citations, Übersetzung, Kommentar, Ouvrages pour la jeunesse, Usage par les enfants, Holy books, Bibles, new revised standard version, new testament & portions, Environmental aspects, Green movement, Environmentalism, Adolescents, Vie religieuse, Doctrinal Theology, Families, Holy Spirit, Saint-Esprit, Enseignement biblique, Spiritual formation, Église catholique, Jeunesse catholique, Paraphrases anglaises, Christian men, Recovery, Old and new testament, Vie chrétienne, Bibles, la biblia de las americas, text, collectionID:bannedbooks, Translations into English, Bible in literature, Bibles, other english translations, text, Bible, study and teaching, outlines, syllabi, etc., Bible, concordances, Large type books, Bible, versions, english, Bibles, new international version, text, Bible, juvenile literature, Women, prayers and devotions, Bibles, new international version, devotional, Bibles, nueva version international, text, Bibles, other english translations, reference, Bibles, king james version, children, Bibles, new revised standard version, text, Bibles, new international reader's version, children, Bibles, general, Bibles, multiple translations, text, Bibles, king james version, text, Bibles, new international reader's version, study, Bible, textbooks, Devotional literature (selections: extracts, etc.), Bibles, new international reader's version, youth & teen, Youth, religious life, Bibles, new international version, children, Devotional calendars, juvenile literature, Bibles, new international version, general, Bible, prophecies, Prophecy, christianity, African americans, religion, God, worship and love, Bibles, new international reader's version, general, Introduction, Bibles, english standard version, general, Bibles, christian standard bible, text, Bible, dictionaries, Bibles, christian standard bible, study, Bibles, la biblia de las americas, general, Bibles, new american standard bible, general, Bibles, christian standard bible, reference, Versions, Revised Standard, Reference editions, Episcopal Church. Joint Commission on Marginal Readings in the Bible, Children's songs, Contemporary christian music, Dakota language, Texts, Dakota (Langue), Textes"
Stones from the River,Ursula Hegi,en-GB,1994,['genre fiction'],47304,"century, english, history, history, large, life, people, american, type, american, women",Fiction,large type books,"century, english, historical, history, large, life, persons, states, type, united, women",Fiction,"City and town life, Dwarfs, Fiction, Historical fiction, History, History 20th century, Women librarians, English fiction, United States, Germany, fiction, Librarians, fiction, Fiction, historical, Large type books, Dwarfs (Persons), Librarians, Fiction, historical, general"
The Big Sleep,Raymond Chandler,eng,1939,['genre fiction'],47088,"character, children, detective, english, fiction, for, investigators, language, mystery, private, stories, women",Fiction,childrens fiction,"character, childrens, detective, english, fictitious, for, investigators, language, mystery, private, stories, women",Fiction,"Fiction, Philip Marlowe (Fictitious character), Private investigators, Detective and mystery stories, Women, General, Fiction, mystery & detective, hard-boiled, Marlowe, philip (fictitious character), fiction, California, fiction, Los angeles (calif.), fiction, Private investigators, fiction, Fiction, mystery & detective, general, Children's fiction, Mystery and detective stories, English language, textbooks for foreign speakers, Mystery & detective"
Cannery Row ,John Steinbeck,eng,1945,['genre fiction'],47088,,Unknown,,,Fiction,
Seriously...I'm Kidding,Ellen DeGeneres,en-US,2011,['genre fiction'],46872,"american, bestseller, biography, humor, new, times, american",Non-fiction,new york times bestseller,"american, bestseller, biography, humor, new, times, york",Fiction,"Television personalities, Comedians, Biography, New York Times bestseller, nyt:combined_print_nonfiction=2012-01-21, Comedians, biography, Humor, form, essays, American wit and humor, Skådespelare"
The Miserable Mill,"Lemony Snicket, Brett Helquist",en-US,2000,['genre fiction'],46872,"family, children, english, fiction, humor, youth, youth, orphans, family, stories",Fiction,childrens fiction,"brothers, childrens, english, ficción, humorous, juvenil, juvenile, orphans, sisters, stories",Fiction,"Children's fiction, Orphans, fiction, Brothers and sisters, fiction, Humorous stories, Brothers and sisters, Cuentos humorísticos, Ficción juvenil, Fiction, Hermanos, Huérfanos, Juvenile fiction, Orphans, Orphans -- Fiction., Brothers and sisters -- Fiction., Humorous stories., Sawmills, Children's humourous stories, English Humorous stories, Recits humoristiques anglais, Siblings, fiction"
The Snow Child,Eowyn Ivey,eng,2012,['genre fiction'],46872,"american, author, history, history, life, women",Fiction,history,"american, authors, historical, history, life, women",Fiction,"Fiction, Alaska Fiction History 1867-1959, American fiction Women authors, History, Frontier and pioneer life, fiction, Alaska, fiction, Fiction, historical, Fiction, historical, general"
Wait for You,"J. Lynn, Jennifer L. Armentrout",eng,2013,['genre fiction'],46440,"children, customs, family, relationships, youth, life, relationships, education, social",Fiction,childrens fiction,"childrens, customs, family, interpersonal, juvenile, life, relations, schools, social",Fiction,"Anxiety Disorders, Anxiety disorders, Divorce, Juvenile Fiction, Family life, Fiction, Interpersonal relations, Dating (Social customs), High schools, Schools, Children's fiction, Interpersonal relations, fiction, Dating (social customs), fiction, Schools, fiction, Divorce, fiction, Family life, fiction"
The Last Straw,Jeff Kinney,eng,2009,['genre fiction'],46440,"age, american, family, children, children, children, comics, family, family, friendship, graphic, humor, relationships, youth, youth, library, life, novel, novel, novel, people, pour, relationships, roman, education, education, stories",Fiction,childrens fiction,"age, american, brothers, child, children, childrens, comics, families, family, friendship, graphic, humorous, interpersonal, jeunesse, juvenile, library, life, nouvelles, novela, novels, people, pour, relations, romans, school, schools, stories",Fiction,"Diaries, Middle schools, Juvenile fiction, Family life, Fiction, Schools, Families, Parent-Child Relations, School stories, Friends, Children's fiction, Humorous stories, Schools, fiction, Family life, fiction, Diaries, fiction, Humorous fiction, Memorials, Fort Worth Library, Friendship, fiction, Brothers, Vacations, ?t?, Romans, nouvelles, etc. pour la jeunesse, Adolescents, Journaux intimes, Romans, nouvelles, Écoles, Familles, Frères, R?cits humoristiques, Vacances, Courage, Friendship, Amistad, Novela, Escuelas, Deportes, Novela norteamericana, Novela costumbrista, Écoles moyennes, Récits humoristiques, Parent and child, Socialization, Children, Child, Interpersonal Relations, Parents et enfants, Socialisation, Enfants, Children (people by age group), Comics & Graphic Novels, American literature"
La Divina Commedia,"Dante Alighieri, Allen Mandelbaum, Eugenio Montale",eng,1308,['genre fiction'],46008,"author, classic, classic, criticism, english, fiction, into, language, manuscripts, materials, one, pictorial, poetry, romance, translation, works",Fiction,classic literature,"author, classic, classics, criticism, english, fictional, into, language, manuscripts, materials, one, pictorial, poetry, romance, translations, works",Fiction,"Poetry, Heaven, Paradise, Heaven in literature, Bibliography, Translations into English, Dictionaries, Paradise in literature, Rime, Italian literature, Pictorial works, Classic Literature, Fiction, Italian language materials, Poetry & poets, Poetry texts & anthologies, Italian Poetry, Italian, Literature: Classics, Ancient, Classical & Medieval, Continental European, Poetry / General, Continental european fiction (fictional works by one author), Poetry (poetic works by one author), Poetry, collections, Heaven--poetry, Pq4315.4 .m3 1986, 18.29 Italian literature, La divina commedia (Dante), Divina commedia (Dante Alighieri), Paradiso (Dante Alighieri), Fiction, general, Textual Criticism, Medieval Manuscripts, Italian Manuscripts, Biblioteca medicea laurenziana, Romance literature, Classics, Purgatory, Bilingual books"
The Tao of Pooh,"Benjamin Hoff, Ernest H. Shepard",eng,1982,['genre fiction'],46008,"character, children, children, criticism, english, fiction, fiction, history, translation, reading, stories, the",Fiction,history,"character, children, childrens, criticism, english, fictional, fictitious, history, interpretation, reading, stories, the",Fiction,"criticism, interpretation, Books and reading, Characters, Children, English Children's stories, History, History and criticism, Milne, A. A. (Alan Alexander), 1882-1956--Characters- Winnie the Pooh, Milne, A.A. (Alan Alexander) , 1882-1956 --Religion and ethics, Religion, Taoism, Taoism in literature, Teddy bears in literature, Jeugdliteratuur, Engels, Taoïsme, Religion and ethics, Children's stories, English, Winnie-the-Pooh (Fictional character), Milne, A.A. (Alan Alexander), 1882-1956, Ethics, Winnie the Pooh, Winnie-the-pooh (fictitious character), Milne, a. a. (alan alexander), 1882-1956, Children's literature, history and criticism"
Onyx,Jennifer L. Armentrout,eng,2012,['genre fiction'],46008,"century, character, civilization, english, fiction, for, long, manual, now, reading, science, travel",Fiction,science fiction,"century, character, civilization, english, fictitious, for, long, manual, now, readers, science, travel",Fiction,"Human-computer interaction, Computers, Fiction, Science fiction, Twenty-first century, Space vehicles, Long Now Manual for Civilization, English Science fiction, Fiction, science fiction, hard science fiction, Saturn, Jupiter, space travel, alien artifacts, human origins, High interest-low vocabulary books, Readers, Fiction, science fiction, general, English literature, HAL (Fictitious character)"
"Unravel Me (Shatter Me, #2)",Tahereh Mafi,eng,2013,['genre fiction'],45792,,Unknown,,,Fiction,
The Birth of Venus,Sarah Dunant,en-US,2003,['genre fiction'],45576,"femmes, girls, history, history, history, large, married, novel, people, roman, crime, youth, type, women",Fiction,large type books,"femmes, girls, histoire, historical, history, large, married, nouvelles, people, romans, suspense, teenage, type, women",Fiction,"Fiction, Married women, Teenage girls, Arranged marriage, Painters, Women painters, History, Historical fiction, Large type books, Fiction, historical, Italy, fiction, Married people, fiction, Artists, fiction, Fiction, historical, general, Suspense fiction, Mariage arrangé, Romans, nouvelles, Femmes peintres, Histoire"
The Opal Deception,Eoin Colfer,eng,2005,['genre fiction'],45360,"adult, adventure, adventure, art, bestseller, character, children, children, british, fiction, youth, youth, large, fantasy, new, novel, pour, roman, roman, stories, times, type, american, youth, youth",Fiction,large type books,"adult, adventure, adventurers, art, bestseller, character, child, childrens, england, fictitious, jeunesse, juvenile, large, magic, new, nouvelles, pour, roman, romans, stories, times, type, york, young, youth",Fiction,"Fiction, Magic, Adventure and adventurers, Fairies, Literature, Art thefts, Father-Son relationship, Large type books, New York Times bestseller, nyt:series_books=2008-06-22, Children's fiction, England, fiction, Fairies, fiction, Kidnapping, fiction, Magic, fiction, Fowl, artemis (fictitious character), fiction, Adventure and adventurers, fiction, Juvenile fiction, Revenge, Parent and child, Kidnapping, Artemis Fowl (Fictitious character), Vengeance, Romans, nouvelles, etc. pour la jeunesse, Parents et enfants, Fées, Romans, nouvelles, Adventure fiction, Young adult fiction, Fowl, Artemis (Personnage fictif), Enlèvement (Droit pénal), Magie, Roman pour jeunes adultes, Roman pour la jeunesse, Child and youth fiction, Artemis Fowl, Fictitious character, Adventure stories, Fowl, Artemis (Fictitious character) -- Juvenile fiction, Pixies -- Juvenile fiction, Fowl, Artemis (Fictitious character), Pixies"
Det som inte dÃ¶dar oss,"David Lagercrantz, Stieg Larsson, George Goulding",eng,2015,['genre fiction'],45144,,Unknown,,,Fiction,
The Girls,Emma Cline,eng,2016,['genre fiction'],44928,"accessible, african, american, biography, biography, book, classic, conditions, femmes, girls, history, history, large, education, library, narratives, people, people, reading, social, american, type, american, women",Non-fiction,large type books,"accessible, african, american, autobiography, biography, book, classic, conditions, femmes, girls, historical, history, large, levelgrade, library, narratives, personal, persons, reading, social, states, type, united, women",Fiction,"Women slaves, United States, Slaves, Social conditions, Biography, Autobiografie, Erlebnisbericht, Sklaverei, Jacobs, harriet a. (harriet ann), 1813-1897, Slaves, united states, Slaves, united states, social conditions, Women, united states, biography, Condition of slaves, Slavery, Biography & Autobiography, History, Nonfiction, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, 1000blackgirlbooks, Esclavage, Conditions sociales, Esclaves, Incidents, Esclave (femme), Document, African American women, Personal narratives, Accessible book, In library, Classic Literature, Fiction, Women, united states, social conditions, Sexual abuse victims, Slaves' writings, Slaves, social conditions, United states, history, Fiction, historical, general, Biographies, Femmes esclaves, Récits personnels, Slave narratives, Enslaved women, Enslaved persons, united states, social conditions, Large type books, Enslaved persons, united states, United states, biography, Enslaved persons, Girls, biography"
The Goose Girl,Shannon Hale,en-US,2003,['genre fiction'],44280,"children, youth, tales",Fiction,childrens fiction,"childrens, juvenile, tales",Fiction,"Books of Bayern, Juvenile fiction, Princesses, Fiction, Fairy tales, Human-animal communication, Children's fiction, Princesses, fiction, Children's literature, Princesses -- Juvenile fiction, Human-animal communication -- Juvenile fiction, Princesses -- Fiction, Human-animal communication -- Fiction"
Mystic River,Dennis Lehane,en-US,2001,['genre fiction'],43848,"children, detective, friendship, large, literature, crime, mystery, novel, psychology, roman, crime, type",Fiction,large type books,"children, detective, friendship, large, literatura, murder, mystery, nouvelles, psychological, romans, suspense, type",Fiction,"Mystery, Murder, Male friendship, Fiction, Suspense fiction, Police, Friendship in children, Investigation, Friendship, Fiction, mystery & detective, police procedural, Boston (mass.), fiction, Fiction, psychological, Large type books, Literatura,, Krimi, H©Œvn, Sorg, T¿umaczenia polskie, Powies c  amerykan ska, Psychological fiction, Amitié masculine, Romans, nouvelles"
Warm Bodies,Isaac Marion,,2010,['genre fiction'],43848,"bestseller, new, romance, times, american",Fiction,new york times bestseller,"bestseller, new, romance, times, york",Fiction,"nyt:trade-fiction-paperback=2013-02-10, New York Times bestseller, Fiction, romance, paranormal, general"
The Prince and the Pauper,"Mark Twain, Everett H. Emerson",eng,1881,['genre fiction'],43416,"action, adaptations, adventure, adventure, american, author, boys, british, children, children, classic, comics, customs, british, english, fiction, for, from, great, history, history, into, youth, large, library, one, open, picks, private, reading, education, social, staff, stories, comics, translation, type, works, youth",Fiction,large type books,"action, adaptations, adventure, adventurers, american, author, boys, britain, children, childrens, classic, comic, customs, england, english, fictional, for, from, great, historical, history, into, juvenile, large, library, one, open, picks, private, readers, schools, social, staff, stories, strips, translations, type, works, youth",Fiction,"Readers, Fiction, Poor, Kings and rulers, Impostors and imposture, Poor children, Boys, Classic Literature, Princes, Adventure and adventurers, Open Library Staff Picks, Mistaken identity, Lookalikes, Adventure stories, Social classes, History, Juvenile fiction, Large print, Sexual ethics for teenagers, Sex instruction for youth, Sexual ethics, Large type books, Children's fiction, Princes, fiction, Edward vi, king of england, 1537-1553, fiction, Adventure and adventurers, fiction, Boys, fiction, England, fiction, American fiction (fictional works by one author), London (england), fiction, Fiction, historical, Great britain, history, fiction, American literature, Social role, Historical fiction, Edward, Great britain, fiction, Fiction, action & adventure, Fiction, historical, general, Theft, fiction, Poverty, fiction, Private schools, fiction, Great britain, history, tudors, 1485-1603, fiction, Poverty, Kindness, Theft, Hunger, Children of alcoholics, Comic books, strips, Adaptations, Adventure fiction, Social and customs, English literature, Translations into Japanese, Japanese literature, Translations from English"
The Moon is a Harsh Mistress,Robert A. Heinlein,eng,1966,['genre fiction'],43416,"american, award, character, fiction, fantasy, science, award",Fiction,science fiction,"american, award, character, fictitious, imaginary, science, winner",Fiction,"Fiction, science fiction, general, Stone, hazel (fictitious character), fiction, American Science fiction, Fiction, Hugo Award Winner, Imaginary wars and battles, award:hugo_award=1967, award:hugo_award=novel, Penal colonies, Revolutions, Artificial intelligence"
The Forty Rules of Love,"Elif Shafak, Ø¥Ù„ÙŠÙ Ø´Ø§ÙØ§Ù‚, Ø§Ø±Ø³Ù„Ø§Ù† ÙØµÛŒØ­ÛŒ, Ù…Ø­Ù…Ø¯ Ø¯Ø±ÙˆÙŠØ´",eng,2010,['genre fiction'],43416,"femmes, jewish, literature, novel, roman, women",Fiction,romans,"femmes, jewish, literary, nouvelles, romans, women",Fiction,"Fiction, general, Fiction, Housewives, Jewish women, Sufis, Sufism, Mevleviyeh, Homemakers, Dervishes, Influence, Literary agents, Middle-aged women, Agents littéraires, Romans, nouvelles, Femmes d'âge moyen, Influence (Literary, artistic, etc.)"
High Five,Janet Evanovich,eng,1999,['children'],43200,"character, crime, detective, fiction, large, mystery, new, stories, type, women",Fiction,large type books,"character, crime, detective, fictitious, large, mystery, new, stories, type, women",Uncategorized,"Women detectives, Detective and mystery stories, Bounty hunters, Stephanie Plum (Fictitious character), Fiction, Bail bond agents, Fiction, mystery & detective, women sleuths, Plum, stephanie (fictitious character), fiction, New jersey, fiction, Trenton (n.j.), fiction, Large type books, Fiction, mystery & detective, general, Fiction, crime"
Joyland,Stephen King,eng,2013,['genre fiction'],42768,"bestseller, crime, detective, history, life, crime, mystery, new, psychology, reviewed, stories, crime, times, american",Fiction,new york times bestseller,"bestseller, crime, detective, historical, life, murder, mystery, new, psychology, reviewed, stories, suspense, times, york",Fiction,"City and town life, Murder, College students, Cold cases (Criminal investigation), Fiction, Carnivals, Life change events, Investigation, Amusement parks, Nineteen seventies, Ghost stories, Amerikanisches Englisch, Criminal investigation, Life-change events, Stress (Psychology), nyt:combined-print-and-e-book-fiction=2013-06-23, New York Times bestseller, New York Times reviewed, North carolina, fiction, Fiction, mystery & detective, historical, Fiction, crime, nyt:mass-market-paperback=2014-06-22, Literature and fiction, mystery and suspense"
é€²æ’ƒã®å·¨äºº 1,"Hajime Isayama, Sheldon Drzka",eng,2010,['genre fiction'],42552,,Unknown,,,Fiction,
Tender Is the Night,F. Scott Fitzgerald,en-US,1933,['genre fiction'],42120,"american, aspects, author, century, classic, criticism, english, family, fiction, french, french, history, large, life, love, manuscripts, novel, one, psychology, psychology, romance, roman, short, stories, the, type, works",Fiction,large type books,"american, aspects, author, century, classics, criticism, english, family, fictional, france, french, historical, large, life, love, manuscripts, nouvelles, one, psychological, psychology, romance, romans, short, stories, the, type, works",Fiction,"Fiction, Psychiatrists, Wealth, Moral and ethical aspects of Wealth, Facsimiles, American Manuscripts, Manuscripts, Moral and ethical aspects, Literature, Psychological fiction, Love stories, The Arts, Fitzgerald, F. Scott, 20th Century American Novel And Short Story, Literature - Classics / Criticism, French, Literature: Classics, USA, Classics, (Francis Scott),, 1896-1940, Manuscripts, American, Historical fiction, Romance fiction, Psychiatrists, fiction, France, fiction, Fiction, psychological, American fiction (fictional works by one author), English, Modern Literature, Large type books, American fiction, Europe - Fiction, English fiction, Romance Norte Americano, Psychology, Popular Work, Richesse, Romans, nouvelles, Aspect moral, Psychiatres, Fiction, general, Histoires d'amour, American literature, Medicine in Literature, Fiction, family life, marriage & divorce, Fiction, classics, English literature"
Cold Sassy Tree,Olive Ann Burns,,1984,['genre fiction'],42120,"family, history, humor, large, life, type",Fiction,large type books,"families, historical, humorous, large, life, type",Fiction,"Families, Fiction, Country life, Georgia, fiction, Fiction, historical, Fiction, humorous, Large type books, Fiction, historical, general, Fiction, humorous, general"
The Glass Menagerie,Tennessee Williams,eng,1945,['nonfiction'],41904,"american, author, family, children, criticism, family, domestic, drama, drama, family, family, relationships, translation, education, men, family, one, open_syllabus_project, drama, reading, relationships, family, family, women, works, youth",Fiction,reading levelgrade 12,"american, author, brothers, childrens, criticism, daughters, domestic, drama, dramatic, families, family, interpersonal, interpretation, levelgrade, men, mothers, one, open_syllabus_project, plays, reading, relations, sisters, sons, women, works, young",Non-Fiction,"memory plays, autobiographical drama, Family, American drama, Fiction, Drama, open_syllabus_project, Young men, Human relations, Brothers and sisters, Mothers and sons, Families, Young women with disabilities, Mothers and daughters, domestic drama, Interpersonal relations, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, American drama (dramatic works by one author), Saint Louis (Mo.), Plays, Play, Criticism and interpretation, Glass menagerie (Williams, Tennessee), Young men--missouri--saint louis--drama, Families--missouri--saint louis--drama, Young men--drama, Saint louis (mo.)--drama, Ps3545.i5365 g5 1999, 812/.54, Children's plays"
L'amica geniale,"Elena Ferrante, Ann Goldstein",eng,2011,['nonfiction'],41472,"age, bestseller, coming, conditions, customs, family, english, femmes, fiction, friendship, girls, history, history, into, life, literature, manners, family, new, novel, roman, social, times, translation, women, american",Fiction,new york times bestseller,"age, bestseller, coming, conditions, customs, daughters, english, femmes, ficción, friendship, girls, historical, history, into, life, literary, manners, mothers, new, nouvelles, romans, social, times, translations, women, york",Non-Fiction,"Friendship, Fiction, female friendship, historical fiction, history, poor girls, Italy, fiction, Friendship, fiction, Fiction, historical, Fiction, coming of age, Fiction, women, Nápoles (Italia), Ficción, Amistad, nyt:trade-fiction-paperback=2015-09-20, New York Times bestseller, Fiction, historical, general, FICTION / Coming of Age, FICTION / Literary, FICTION / Media Tie-In, FICTION / Sagas, Italian fiction, Translations into English, Social life and customs, Social conditions, Women, Amitié féminine, Romans, nouvelles, Conditions sociales, Amitié, Femmes, Mœurs et coutumes, Manners and customs, Mothers and daughters, Divorced women"
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",Timothy Ferriss,eng,2007,['genre fiction'],41256,,Unknown,,,Fiction,
The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams & Reaching Your Destiny,Robin S. Sharma,eng,1996,['genre fiction'],40824,psychology,Fiction,selfactualization psychology,psychology,Fiction,"Self-realization, Self-actualization (psychology), Fiction, visionary & metaphysical"
Rules of Civility,Amor Towles,eng,2011,['genre fiction'],40824,"bestseller, customs, femmes, history, large, life, manners, manwoman, new, novel, psychology, relationships, relationships, reviewed, roman, roman, social, times, type, women, american, youth",Fiction,large type books,"bestseller, customs, femmes, historical, large, life, manners, manwoman, new, nouvelles, psychological, relations, relationships, reviewed, roman, romans, social, times, type, women, york, young",Fiction,"Fiction, Nineteen thirties, Man-woman relationships, Upper class, Young women, Large type books, Fiction, historical, Young women, fiction, Wall street (new york, n.y.), fiction, New york (n.y.), fiction, Fiction, psychological, Man-woman relationships, fiction, Jeunes femmes, Romans, nouvelles, Classes supérieures, Années trente (Vingtième siècle), Relations entre hommes et femmes, Social life and customs, Manners and customs, nyt:hardcover-fiction=2011-08-14, New York Times bestseller, New York Times reviewed, New Year, Jealousy, Cliques (Sociology), Roman, Amerikanisches Englisch, Fiction, historical, general, Junge Frau, Freundin, Lebemann, Schickeria"
Ringworld,Larry Niven,eng,1970,['genre fiction'],40176,"american, award, civilization, comics, comics, for, fantasy, life, long, manual, novel, now, place, roman, science, comics, award",Fiction,romans,"american, award, civilization, comic, comics, for, imaginary, life, long, manual, nouvelles, now, place, romans, science, strips, winner",Fiction,"Hugo Award Winner, award:hugo_award=1971, award:hugo_award=novel, Fiction, science fiction, general, Ringworld (imaginary place), fiction, Fiction, Ringworld (Imaginary place), Science fiction, Long Now Manual for Civilization, American Science fiction, award:nebula_award=novel, Science-fiction, Comic books, strips, Life on other planets, Imaginary wars and battles, Space warfare, Imaginary places, Cartoons and comics, Vie extraterrestre, Bandes dessinées, Guerres et batailles imaginaires, Romans, nouvelles, Guerre spatiale"
Between Shades of Gray,Ruta Sepetys,eng,2011,['genre fiction'],40176,"19391945, bestseller, children, fiction, from, history, history, history, youth, youth, youth, large, new, novel, pour, reviewed, roman, roman, survival, times, type, war, world, american",Fiction,large type books,"19391945, bestseller, childrens, ficción, from, histoire, historical, history, jeunesse, juvenil, juvenile, large, new, nouvelles, pour, reviewed, roman, romans, survival, times, type, war, world, york",Fiction,"Labor camps, Juvenile fiction, Fiction, Survival, History, Large type books, Historical fiction, Children's fiction, Survival, fiction, Siberia (russia), fiction, Soviet union, history, fiction, Europe, history, fiction, Survivalism, World War, 1939-1945, Deportations from Lithuania, Concentration camps, Resilience (Personality trait), Drawing, Souvenirs (Keepsakes), Romans, nouvelles, etc. pour la jeunesse, Histoire, Camps de concentration, Résilience (Trait de personnalité), Roman historique, Deportation, Romans historiques, Guerre mondiale, 1939-1945, Romans, Déportés lituaniens, Dessin, Souvenir, Campos de concentración, Historia, Ficción juvenil, Supervivencia, nyt:chapter-books=2011-04-10, New York Times bestseller, New York Times reviewed"
Frindle,"Andrew Clements, Brian Selznick",en-US,1996,['genre fiction'],39960,"american, children, new, relationships, education, stories",Fiction,childrens stories,"american, childrens, new, relationships, schools, stories",Fiction,"New Words, Fiction, Teacher-student relationships, Schools, Children's stories, American"
