Book,Author(s),Original language,First published,Genre,Approximate sales (millions), All Subjects,Book_Type,Most common subject phrase,From top 200 phrases,Subjects,Most common subject phrase normalized
The Last Straw,Jeff Kinney,eng,2009,genre fiction,46440.0,"Diaries, Middle schools, Juvenile fiction, Family life, Fiction, Schools, Families, Parent-Child Relations, School stories, Friends, Children's fiction, Humorous stories, Schools, fiction, Family life, fiction, Diaries, fiction, Humorous fiction, Memorials, Fort Worth Library, Friendship, fiction, Brothers, Vacations, ?t?, Romans, nouvelles, etc. pour la jeunesse, Adolescents, Journaux intimes, Romans, nouvelles, Écoles, Familles, Frères, R?cits humoristiques, Vacances, Courage, Friendship, Amistad, Novela, Escuelas, Deportes, Novela norteamericana, Novela costumbrista, Écoles moyennes, Récits humoristiques, Parent and child, Socialization, Children, Child, Interpersonal Relations, Parents et enfants, Socialisation, Enfants, Children (people by age group), Comics & Graphic Novels, American literature",Fiction,childrens fiction,"american literature, children, childrens fiction, comics  graphic novels, diaries, etc pour la jeunesse, families, family life, friendship, humorous stories, interpersonal relations, juvenile fiction, nouvelles, novela, parent and child, romans, schools","american literature, children, childrens fiction, comics  graphic novels, diaries, etc pour la jeunesse, family, friendship, humorous, interpersonal relations, juvenile fiction, nouvelles, novel, parent and child, romans, schools",childrens fiction
La Divina Commedia,"Dante Alighieri, Allen Mandelbaum, Eugenio Montale",eng,1308,genre fiction,46008.0,"Poetry, Heaven, Paradise, Heaven in literature, Bibliography, Translations into English, Dictionaries, Paradise in literature, Rime, Italian literature, Pictorial works, Classic Literature, Fiction, Italian language materials, Poetry & poets, Poetry texts & anthologies, Italian Poetry, Italian, Literature: Classics, Ancient, Classical & Medieval, Continental European, Poetry / General, Continental european fiction (fictional works by one author), Poetry (poetic works by one author), Poetry, collections, Heaven--poetry, Pq4315.4 .m3 1986, 18.29 Italian literature, La divina commedia (Dante), Divina commedia (Dante Alighieri), Paradiso (Dante Alighieri), Fiction, general, Textual Criticism, Medieval Manuscripts, Italian Manuscripts, Biblioteca medicea laurenziana, Romance literature, Classics, Purgatory, Bilingual books",Fiction,classic literature,"classic literature, classics, dictionaries, pictorial works, poetry, translations into english","classics, dictionaries, pictorial works, poetry, translations into english",classics
The Tao of Pooh,"Benjamin Hoff, Ernest H. Shepard",eng,1982,genre fiction,46008.0,"criticism, interpretation, Books and reading, Characters, Children, English Children's stories, History, History and criticism, Milne, A. A. (Alan Alexander), 1882-1956--Characters- Winnie the Pooh, Milne, A.A. (Alan Alexander) , 1882-1956 --Religion and ethics, Religion, Taoism, Taoism in literature, Teddy bears in literature, Jeugdliteratuur, Engels, Taoïsme, Religion and ethics, Children's stories, English, Winnie-the-Pooh (Fictional character), Milne, A.A. (Alan Alexander), 1882-1956, Ethics, Winnie the Pooh, Winnie-the-pooh (fictitious character), Milne, a. a. (alan alexander), 1882-1956, Children's literature, history and criticism",Fiction,history,"books and reading, children, childrens literature, childrens stories, english, history, history and criticism","books and reading, children, childrens literature, childrens stories, english, history, history and criticism",history
Onyx,Jennifer L. Armentrout,eng,2012,genre fiction,46008.0,"Human-computer interaction, Computers, Fiction, Science fiction, Twenty-first century, Space vehicles, Long Now Manual for Civilization, English Science fiction, Fiction, science fiction, hard science fiction, Saturn, Jupiter, space travel, alien artifacts, human origins, High interest-low vocabulary books, Readers, Fiction, science fiction, general, English literature, HAL (Fictitious character)",Fiction,science fiction,"english literature, long now manual for civilization, readers, science fiction","english literature, long now manual for civilization, readers, science fiction",science fiction
"Unravel Me (Shatter Me, #2)",Tahereh Mafi,eng,2013,genre fiction,45792.0,,Unknown,,,,
The Birth of Venus,Sarah Dunant,en-US,2003,genre fiction,45576.0,"Fiction, Married women, Teenage girls, Arranged marriage, Painters, Women painters, History, Historical fiction, Large type books, Fiction, historical, Italy, fiction, Married people, fiction, Artists, fiction, Fiction, historical, general, Suspense fiction, Mariage arrangé, Romans, nouvelles, Femmes peintres, Histoire",Fiction,large type books,"artists, histoire, historical, historical fiction, history, large type books, married people, married women, nouvelles, romans, suspense fiction, teenage girls","artists, historical, historical fiction, history, large type books, marriage, married women, nouvelles, romans, suspense fiction, teenage girls",large type books
The Opal Deception,Eoin Colfer,eng,2005,genre fiction,45360.0,"Fiction, Magic, Adventure and adventurers, Fairies, Literature, Art thefts, Father-Son relationship, Large type books, New York Times bestseller, nyt:series_books=2008-06-22, Children's fiction, England, fiction, Fairies, fiction, Kidnapping, fiction, Magic, fiction, Fowl, artemis (fictitious character), fiction, Adventure and adventurers, fiction, Juvenile fiction, Revenge, Parent and child, Kidnapping, Artemis Fowl (Fictitious character), Vengeance, Romans, nouvelles, etc. pour la jeunesse, Parents et enfants, Fées, Romans, nouvelles, Adventure fiction, Young adult fiction, Fowl, Artemis (Personnage fictif), Enlèvement (Droit pénal), Magie, Roman pour jeunes adultes, Roman pour la jeunesse, Child and youth fiction, Artemis Fowl, Fictitious character, Adventure stories, Fowl, Artemis (Fictitious character) -- Juvenile fiction, Pixies -- Juvenile fiction, Fowl, Artemis (Fictitious character), Pixies",Fiction,large type books,"adventure and adventurers, adventure fiction, adventure stories, child and youth fiction, childrens fiction, england, etc pour la jeunesse, juvenile fiction, large type books, literature, magic, new york times bestseller, nouvelles, parent and child, romans, young adult fiction","adventure and adventurers, adventure fiction, adventure stories, child and youth fiction, childrens fiction, england, etc pour la jeunesse, juvenile fiction, large type books, literature, magic, new york times bestseller, nouvelles, parent and child, romans, young adult fiction",large type books
Det som inte dÃ¶dar oss,"David Lagercrantz, Stieg Larsson, George Goulding",eng,2015,genre fiction,45144.0,,Unknown,,,,
The Girls,Emma Cline,eng,2016,genre fiction,44928.0,"Women slaves, United States, Slaves, Social conditions, Biography, Autobiografie, Erlebnisbericht, Sklaverei, Jacobs, harriet a. (harriet ann), 1813-1897, Slaves, united states, Slaves, united states, social conditions, Women, united states, biography, Condition of slaves, Slavery, Biography & Autobiography, History, Nonfiction, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, 1000blackgirlbooks, Esclavage, Conditions sociales, Esclaves, Incidents, Esclave (femme), Document, African American women, Personal narratives, Accessible book, In library, Classic Literature, Fiction, Women, united states, social conditions, Sexual abuse victims, Slaves' writings, Slaves, social conditions, United states, history, Fiction, historical, general, Biographies, Femmes esclaves, Récits personnels, Slave narratives, Enslaved women, Enslaved persons, united states, social conditions, Large type books, Enslaved persons, united states, United states, biography, Enslaved persons, Girls, biography",Non-fiction,large type books,"accessible book, biographies, biography, biography  autobiography, classic literature, girls, historical, history, large type books, personal narratives, reading levelgrade 10, reading levelgrade 11, reading levelgrade 12, reading levelgrade 7, reading levelgrade 8, reading levelgrade 9, social conditions, united states, women","accessible book, autobiography, biography, classics, girls, historical, history, large type books, others, personal narratives, social conditions, united states, women",large type books
The Goose Girl,Shannon Hale,en-US,2003,genre fiction,44280.0,"Books of Bayern, Juvenile fiction, Princesses, Fiction, Fairy tales, Human-animal communication, Children's fiction, Princesses, fiction, Children's literature, Princesses -- Juvenile fiction, Human-animal communication -- Juvenile fiction, Princesses -- Fiction, Human-animal communication -- Fiction",Fiction,childrens fiction,"childrens fiction, childrens literature, fairy tales, juvenile fiction","childrens fiction, childrens literature, fairy tales, juvenile fiction",childrens fiction
Mystic River,Dennis Lehane,en-US,2001,genre fiction,43848.0,"Mystery, Murder, Male friendship, Fiction, Suspense fiction, Police, Friendship in children, Investigation, Friendship, Fiction, mystery & detective, police procedural, Boston (mass.), fiction, Fiction, psychological, Large type books, Literatura,, Krimi, H©Œvn, Sorg, T¿umaczenia polskie, Powies c  amerykan ska, Psychological fiction, Amitié masculine, Romans, nouvelles",Fiction,large type books,"friendship, large type books, murder, mystery, mystery  detective, nouvelles, psychological, psychological fiction, romans, suspense fiction","friendship, large type books, murder, mystery, mystery  detective, nouvelles, psychological, psychological fiction, romans, suspense fiction",large type books
Warm Bodies,Isaac Marion,,2010,genre fiction,43848.0,"nyt:trade-fiction-paperback=2013-02-10, New York Times bestseller, Fiction, romance, paranormal, general",Fiction,new york times bestseller,"new york times bestseller, romance","new york times bestseller, romance",new york times bestseller
The Prince and the Pauper,"Mark Twain, Everett H. Emerson",eng,1881,genre fiction,43416.0,"Readers, Fiction, Poor, Kings and rulers, Impostors and imposture, Poor children, Boys, Classic Literature, Princes, Adventure and adventurers, Open Library Staff Picks, Mistaken identity, Lookalikes, Adventure stories, Social classes, History, Juvenile fiction, Large print, Sexual ethics for teenagers, Sex instruction for youth, Sexual ethics, Large type books, Children's fiction, Princes, fiction, Edward vi, king of england, 1537-1553, fiction, Adventure and adventurers, fiction, Boys, fiction, England, fiction, American fiction (fictional works by one author), London (england), fiction, Fiction, historical, Great britain, history, fiction, American literature, Social role, Historical fiction, Edward, Great britain, fiction, Fiction, action & adventure, Fiction, historical, general, Theft, fiction, Poverty, fiction, Private schools, fiction, Great britain, history, tudors, 1485-1603, fiction, Poverty, Kindness, Theft, Hunger, Children of alcoholics, Comic books, strips, Adaptations, Adventure fiction, Social and customs, English literature, Translations into Japanese, Japanese literature, Translations from English",Fiction,large type books,"action  adventure, adaptations, adventure and adventurers, adventure fiction, adventure stories, american literature, boys, childrens fiction, classic literature, comic books, england, english literature, great britain, historical, historical fiction, history, juvenile fiction, large type books, open library staff picks, readers, strips, translations from english","action  adventure, adaptations, adventure and adventurers, adventure fiction, adventure stories, american literature, boys, childrens fiction, classics, comic books, england, english literature, great britain, historical, historical fiction, history, juvenile fiction, large type books, open library staff picks, readers, strips, translations from english",large type books
The Moon is a Harsh Mistress,Robert A. Heinlein,eng,1966,genre fiction,43416.0,"Fiction, science fiction, general, Stone, hazel (fictitious character), fiction, American Science fiction, Fiction, Hugo Award Winner, Imaginary wars and battles, award:hugo_award=1967, award:hugo_award=novel, Penal colonies, Revolutions, Artificial intelligence",Fiction,science fiction,"american science fiction, imaginary wars and battles, science fiction","american science fiction, imaginary wars and battles, science fiction",science fiction
The Forty Rules of Love,"Elif Shafak, Ø¥Ù„ÙŠÙ Ø´Ø§ÙØ§Ù‚, Ø§Ø±Ø³Ù„Ø§Ù† ÙØµÛŒØ­ÛŒ, Ù…Ø­Ù…Ø¯ Ø¯Ø±ÙˆÙŠØ´",eng,2010,genre fiction,43416.0,"Fiction, general, Fiction, Housewives, Jewish women, Sufis, Sufism, Mevleviyeh, Homemakers, Dervishes, Influence, Literary agents, Middle-aged women, Agents littéraires, Romans, nouvelles, Femmes d'âge moyen, Influence (Literary, artistic, etc.)",Fiction,romans,"nouvelles, romans","nouvelles, romans",romans
High Five,Janet Evanovich,eng,1999,children,43200.0,"Women detectives, Detective and mystery stories, Bounty hunters, Stephanie Plum (Fictitious character), Fiction, Bail bond agents, Fiction, mystery & detective, women sleuths, Plum, stephanie (fictitious character), fiction, New jersey, fiction, Trenton (n.j.), fiction, Large type books, Fiction, mystery & detective, general, Fiction, crime",Fiction,large type books,"crime, detective and mystery stories, large type books, mystery  detective, women sleuths","crime, detective and mystery stories, large type books, mystery  detective, women sleuths",large type books
Joyland,Stephen King,eng,2013,genre fiction,42768.0,"City and town life, Murder, College students, Cold cases (Criminal investigation), Fiction, Carnivals, Life change events, Investigation, Amusement parks, Nineteen seventies, Ghost stories, Amerikanisches Englisch, Criminal investigation, Life-change events, Stress (Psychology), nyt:combined-print-and-e-book-fiction=2013-06-23, New York Times bestseller, New York Times reviewed, North carolina, fiction, Fiction, mystery & detective, historical, Fiction, crime, nyt:mass-market-paperback=2014-06-22, Literature and fiction, mystery and suspense",Fiction,new york times bestseller,"amerikanisches englisch, crime, historical, literature and fiction, murder, mystery  detective, new york times bestseller, new york times reviewed","amerikanisches englisch, crime, historical, literature and fiction, murder, mystery  detective, new york times bestseller, new york times reviewed",new york times bestseller
é€²æ’ƒã®å·¨äºº 1,"Hajime Isayama, Sheldon Drzka",eng,2010,genre fiction,42552.0,,Unknown,,,,
Tender Is the Night,F. Scott Fitzgerald,en-US,1933,genre fiction,42120.0,"Fiction, Psychiatrists, Wealth, Moral and ethical aspects of Wealth, Facsimiles, American Manuscripts, Manuscripts, Moral and ethical aspects, Literature, Psychological fiction, Love stories, The Arts, Fitzgerald, F. Scott, 20th Century American Novel And Short Story, Literature - Classics / Criticism, French, Literature: Classics, USA, Classics, (Francis Scott),, 1896-1940, Manuscripts, American, Historical fiction, Romance fiction, Psychiatrists, fiction, France, fiction, Fiction, psychological, American fiction (fictional works by one author), English, Modern Literature, Large type books, American fiction, Europe - Fiction, English fiction, Romance Norte Americano, Psychology, Popular Work, Richesse, Romans, nouvelles, Aspect moral, Psychiatres, Fiction, general, Histoires d'amour, American literature, Medicine in Literature, Fiction, family life, marriage & divorce, Fiction, classics, English literature",Fiction,large type books,"american, american fiction, american literature, classics, english, english fiction, english literature, family life, france, french, historical fiction, large type books, literature, love stories, manuscripts, nouvelles, psychological, psychological fiction, psychology, romance fiction, romans","american, american fiction, american literature, classics, english, english fiction, english literature, family, france, french, historical fiction, large type books, literature, love, manuscripts, nouvelles, psychological, psychological fiction, romance, romans",large type books
Cold Sassy Tree,Olive Ann Burns,,1984,genre fiction,42120.0,"Families, Fiction, Country life, Georgia, fiction, Fiction, historical, Fiction, humorous, Large type books, Fiction, historical, general, Fiction, humorous, general",Fiction,large type books,"families, historical, humorous, large type books","family, historical, humorous, large type books",large type books
The Glass Menagerie,Tennessee Williams,eng,1945,nonfiction,41904.0,"memory plays, autobiographical drama, Family, American drama, Fiction, Drama, open_syllabus_project, Young men, Human relations, Brothers and sisters, Mothers and sons, Families, Young women with disabilities, Mothers and daughters, domestic drama, Interpersonal relations, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, American drama (dramatic works by one author), Saint Louis (Mo.), Plays, Play, Criticism and interpretation, Glass menagerie (Williams, Tennessee), Young men--missouri--saint louis--drama, Families--missouri--saint louis--drama, Young men--drama, Saint louis (mo.)--drama, Ps3545.i5365 g5 1999, 812/.54, Children's plays",Fiction,reading levelgrade 12,"brothers and sisters, childrens plays, criticism and interpretation, drama, families, family, interpersonal relations, mothers and daughters, open_syllabus_project, plays, reading levelgrade 10, reading levelgrade 11, reading levelgrade 12, reading levelgrade 7, reading levelgrade 8, reading levelgrade 9","brothers and sisters, childrens plays, criticism and interpretation, drama, family, interpersonal relations, mothers and daughters, open_syllabus_project, others, plays",others
L'amica geniale,"Elena Ferrante, Ann Goldstein",eng,2011,nonfiction,41472.0,"Friendship, Fiction, female friendship, historical fiction, history, poor girls, Italy, fiction, Friendship, fiction, Fiction, historical, Fiction, coming of age, Fiction, women, Nápoles (Italia), Ficción, Amistad, nyt:trade-fiction-paperback=2015-09-20, New York Times bestseller, Fiction, historical, general, FICTION / Coming of Age, FICTION / Literary, FICTION / Media Tie-In, FICTION / Sagas, Italian fiction, Translations into English, Social life and customs, Social conditions, Women, Amitié féminine, Romans, nouvelles, Conditions sociales, Amitié, Femmes, Mœurs et coutumes, Manners and customs, Mothers and daughters, Divorced women",Fiction,new york times bestseller,"coming of age, ficción, fiction  literary, friendship, historical, historical fiction, history, manners and customs, mothers and daughters, new york times bestseller, nouvelles, romans, social conditions, social life and customs, translations into english, women","coming of age, fiction, fiction  literary, friendship, historical, historical fiction, history, manners and customs, mothers and daughters, new york times bestseller, nouvelles, romans, social conditions, social life and customs, translations into english, women",new york times bestseller
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",Timothy Ferriss,eng,2007,genre fiction,41256.0,,Unknown,,,,
The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams & Reaching Your Destiny,Robin S. Sharma,eng,1996,genre fiction,40824.0,"Self-realization, Self-actualization (psychology), Fiction, visionary & metaphysical",Fiction,visionary  metaphysical,,,visionary  metaphysical
Rules of Civility,Amor Towles,eng,2011,genre fiction,40824.0,"Fiction, Nineteen thirties, Man-woman relationships, Upper class, Young women, Large type books, Fiction, historical, Young women, fiction, Wall street (new york, n.y.), fiction, New york (n.y.), fiction, Fiction, psychological, Man-woman relationships, fiction, Jeunes femmes, Romans, nouvelles, Classes supérieures, Années trente (Vingtième siècle), Relations entre hommes et femmes, Social life and customs, Manners and customs, nyt:hardcover-fiction=2011-08-14, New York Times bestseller, New York Times reviewed, New Year, Jealousy, Cliques (Sociology), Roman, Amerikanisches Englisch, Fiction, historical, general, Junge Frau, Freundin, Lebemann, Schickeria",Fiction,large type books,"amerikanisches englisch, historical, large type books, manners and customs, manwoman relationships, new york times bestseller, new york times reviewed, nouvelles, psychological, roman, romans, social life and customs, young women","amerikanisches englisch, historical, large type books, manners and customs, manwoman relationships, new york times bestseller, new york times reviewed, nouvelles, psychological, romans, social life and customs, young women",large type books
Ringworld,Larry Niven,eng,1970,genre fiction,40176.0,"Hugo Award Winner, award:hugo_award=1971, award:hugo_award=novel, Fiction, science fiction, general, Ringworld (imaginary place), fiction, Fiction, Ringworld (Imaginary place), Science fiction, Long Now Manual for Civilization, American Science fiction, award:nebula_award=novel, Science-fiction, Comic books, strips, Life on other planets, Imaginary wars and battles, Space warfare, Imaginary places, Cartoons and comics, Vie extraterrestre, Bandes dessinées, Guerres et batailles imaginaires, Romans, nouvelles, Guerre spatiale",Fiction,romans,"american science fiction, cartoons and comics, comic books, imaginary wars and battles, long now manual for civilization, nouvelles, romans, science fiction, strips","american science fiction, cartoons and comics, comic books, imaginary wars and battles, long now manual for civilization, nouvelles, romans, science fiction, strips",romans
Between Shades of Gray,Ruta Sepetys,eng,2011,genre fiction,40176.0,"Labor camps, Juvenile fiction, Fiction, Survival, History, Large type books, Historical fiction, Children's fiction, Survival, fiction, Siberia (russia), fiction, Soviet union, history, fiction, Europe, history, fiction, Survivalism, World War, 1939-1945, Deportations from Lithuania, Concentration camps, Resilience (Personality trait), Drawing, Souvenirs (Keepsakes), Romans, nouvelles, etc. pour la jeunesse, Histoire, Camps de concentration, Résilience (Trait de personnalité), Roman historique, Deportation, Romans historiques, Guerre mondiale, 1939-1945, Romans, Déportés lituaniens, Dessin, Souvenir, Campos de concentración, Historia, Ficción juvenil, Supervivencia, nyt:chapter-books=2011-04-10, New York Times bestseller, New York Times reviewed",Fiction,large type books,"19391945, childrens fiction, etc pour la jeunesse, ficción juvenil, histoire, historia, historical fiction, history, juvenile fiction, large type books, new york times bestseller, new york times reviewed, nouvelles, romans, survival, world war","childrens fiction, etc pour la jeunesse, historical fiction, history, hoistorical, juvenile fiction, large type books, new york times bestseller, new york times reviewed, nouvelles, others, romans, survival, world war",large type books
Frindle,"Andrew Clements, Brian Selznick",en-US,1996,genre fiction,39960.0,"New Words, Fiction, Teacher-student relationships, Schools, Children's stories, American",Fiction,childrens stories,"american, childrens stories, schools","american, childrens stories, schools",childrens stories
Dog Days,Jeff Kinney,en-US,2009,genre fiction,39744.0,"Clergy, Dogs, Fiction, Spouses of clergy, Theft, Summer, Humorous stories, Diaries, Vacations, Juvenile fiction, Video games, Mothers and sons, Comics & Graphic Novels, Juvenile Wit and humor, Humorous fiction, Friendship, Children's fiction, Diaries, fiction, Summer, fiction, Children's stories, Holidays, Bullying, New York Times bestseller, nyt:series_books=2009-01-10, Child and youth fiction, Literature, history and criticism, Greg Heffley (Fictitious character), Families, Schools, fiction, Friendship, fiction, Juegos con video, Cuentos humorosos, Ficción juvenil, Vacaciones, Diarios íntimos, Spanish language materials, Verano, Heffley, Greg -- Juvenile fiction, Heffley, Greg, Large type books, Summer -- Fiction, Diaries -- Fiction, JUVENILE FICTION -- Humorous Stories, JUVENILE FICTION -- Comics & Graphic Novels -- General, American literature",Fiction,large type books,"american literature, child and youth fiction, childrens fiction, childrens stories, comics  graphic novels, diaries, families, ficción juvenil, friendship, history and criticism, humorous stories, juvenile fiction, large type books, literature, new york times bestseller, schools, spanish language materials","american literature, child and youth fiction, childrens fiction, childrens stories, comics  graphic novels, diaries, family, friendship, history and criticism, humorous, juvenile fiction, large type books, literature, new york times bestseller, schools, spanish language",large type books
The Round House,Louise Erdrich,eng,2012,genre fiction,39312.0,"Life change events, Ojibwa Indians, Crimes against, Fiction, Indian families, Indian reservations, FICTION / General, Indian women, Native Americans, Verbrechensopfer, Ojibwa, Aufklärung, Indians of North America, Reservations, Native American families, Native American women, Stress (Psychology), Frau, General, Psychisches Trauma, FICTION, Indianerreservat, Victims of crimes, nyt:hardcover-fiction=2012-10-21, New York Times bestseller, Fiction, general, Indians of north america, fiction, North dakota, fiction, Large type books, New York Times reviewed, nyt:trade-fiction-paperback=2013-10-13",Fiction,large type books,"fiction  general, large type books, new york times bestseller, new york times reviewed","fiction  general, large type books, new york times bestseller, new york times reviewed",large type books
A Wind in the Door,Madeleine L'Engle,eng,1973,genre fiction,39312.0,"Science fiction, Juvenile literature, Brothers and sisters, Fantasy, Sick, Fiction, Sick children, Murry family (Fictitious characters), Juvenile fiction, Dragons, Gifted children, Angels, Blind, Books and reading, Children's fiction, Fantasy fiction, Murry family (fictitious character), fiction, Large type books, Berufliche Fortbildung, Bevölkerungsentwicklung, Humanvermögen, Organisationsentwicklung, Personalentwicklung, Personalpolitik, Qualifikationsanforderung, Unternehmen, Älterer Arbeitnehmer",Fiction,large type books,"books and reading, brothers and sisters, childrens fiction, fantasy, fantasy fiction, juvenile fiction, juvenile literature, large type books, science fiction","books and reading, brothers and sisters, childrens fiction, fantasy, fantasy fiction, juvenile fiction, juvenile literature, large type books, science fiction",large type books
Free Four: Tobias Tells the Divergent Story,Veronica Roth,eng,2012,nonfiction,38880.0,,Unknown,,,,
A Little Life,Hanya Yanagihara,eng,2015,genre fiction,38664.0,"Louisa May Alcott, Children, Children's, Kid's, Juvenile, History, Historical, Fiction, Classic, Literature, Stories, Book, Hardcover, Paperback, e-books, Families, Family life, Family, Boys, Conduct of life, Children's stories, American, Friendship, Boarding schools, Schools, 1997, Movie tie-in, LITERATURA INFANTIL ESTADOUNIDENSE, Children's fiction, Boarding schools, fiction, Schools, fiction, Family life, fiction, New england, fiction, Orphans, fiction, Large type books, Juvenile fiction, Cousins, Twins, Orphans, Accelerated reader, March family (fictitious characters), fiction, American fiction (fictional works by one author), Fiction, historical, general, Juvenile literature, Fiction, short stories (single author), March family (Fictitious characters), Jo March (Fictitious character), Classic Literature, Romans, Internats, Famille, Famille March (Personnages fictifs), Romans, nouvelles, etc. pour la jeunesse, Histoire, Familles, Domestic fiction, Juvenile works, Family members, Juvenile fiction. @MCOLUMBaNew England, Private schools, Fiction, general",Fiction,large type books,"american, boys, children, childrens fiction, childrens stories, classic literature, conduct of life, domestic fiction, etc pour la jeunesse, families, family, family life, friendship, histoire, historical, history, juvenile, juvenile fiction, juvenile literature, juvenile works, large type books, literature, nouvelles, orphans, romans, schools","american, boys, children, childrens fiction, childrens stories, classics, conduct of life, domestic fiction, etc pour la jeunesse, family, friendship, historical, history, juvenile, juvenile fiction, juvenile literature, juvenile works, large type books, literature, nouvelles, orphans, romans, schools",large type books
"Y: The Last Man, Vol. 1: Unmanned","Brian K. Vaughan, Pia Guerra, JosÃ© MarzÃ¡n Jr.",eng,2003,genre fiction,38664.0,"Comic books, strips, Graphic novels, Heroes, Plague, Science fiction comic books, strips, Comics & graphic novels, science fiction, general",Fiction,science fiction,"comic books, comics  graphic novels, graphic novels, heroes, science fiction, strips","comic books, comics  graphic novels, graphic novels, heroes, science fiction, strips",science fiction
The Alloy of Law,Brandon Sanderson,eng,2011,genre fiction,38448.0,"Imaginary Places, Magic, Fiction, Fantasy, Fiction, fantasy, epic, New York Times bestseller, FICTION / Fantasy / Epic",Fiction,fantasy,"epic, fantasy, magic, new york times bestseller","epic, fantasy, magic, new york times bestseller",fantasy
Dead Reckoning,Charlaine Harris,eng,2011,nonfiction,38448.0,"New York Times reviewed, Yacht racing, Fiction, Fiction, mystery & detective, general",Fiction,new york times reviewed,"mystery  detective, new york times reviewed","mystery  detective, new york times reviewed",new york times reviewed
The Accidental Tourist,"Anne Tyler, Jennifer Bassett",eng,1985,genre fiction,38448.0,"Death, Psychological fiction, Psychology, Open Library Staff Picks, Men, Fiction, Children in fiction, National Book Critics Circle Award Winner, Travel writing in fiction, award:national_book_critics_circle_award=1985, Travel writing, Men in fiction, Children, award:national_book_critics_circle_award=fiction, Large type books, American fiction, Fiction, psychological, Baltimore (md.), fiction, High interest-low vocabulary books, Readers, Hommes, Romans, nouvelles, Psychologie, Enfants, Mort, Voyage, Art d'écrire",Fiction,large type books,"american fiction, children, death, large type books, nouvelles, open library staff picks, psychological, psychological fiction, psychology, readers, romans","american fiction, children, death, large type books, nouvelles, open library staff picks, psychological, psychological fiction, readers, romans",large type books
Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire SÃ¡enz,,2012,fiction,38232.0,"Mexican-Americans, Coming of age, Homosexuality, Families, Friendship, Fiction, Juvenile fiction, Mexican Americans, Mexican American families, Bildungsromans, Family life, Gay teenagers, Mexican American teenagers, Brothers, Loyalty, Self-perception, Anger, Family relationships, Trust, Prisoners, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, LGBTQ young adult, Relaciones familiares, Amistad, Juventud mexicano-americana, Ficción juvenil, Hermanos (Varones), Presos, Ira, Familias mexicano-americanas, Familias, Homosexualidad, Adolescentes, Autopercepción, Stonewall Book Awards, Lambda Literary Awards, Lambda Literary Award Winner, Children's fiction, Family, fiction, Mexican americans, fiction, Friendship, fiction, Homosexuality, fiction, Stories in rhyme, collectionID:EanesChallenge, nyt:young-adult-paperback-monthly=2022-01-02, New York Times bestseller, collectionID:bannedbooks, award:Pura_Belpre_award, lexile:380, lexile_range:301-400, lexile_code:HL, age:min:12, age:max:undefined, grade:min:7, grade:max:9",Fiction,childrens fiction,"bildungsromans, childrens fiction, coming of age, families, family, family life, ficción juvenil, friendship, juvenile fiction, new york times bestseller, reading levelgrade 10, reading levelgrade 11, reading levelgrade 12, reading levelgrade 7, reading levelgrade 8, reading levelgrade 9","bildungsromans, childrens fiction, coming of age, family, friendship, juvenile fiction, new york times bestseller, others",childrens fiction
The Invisible Man,H.G. Wells,eng,1897,genre fiction,38016.0,"Ciencia-ficción, Classic Literature, Fiction, Mentally ill, Science Fiction & Fantasy, Science fiction, Scientists, English Science fiction, Experiments, Adaptations, Time travel, British and irish fiction (fictional works by one author), England, fiction, Scientists, fiction, Children's fiction, Mystery and detective stories, Literature and fiction, science fiction, Fiction, science fiction, general, English literature, English fiction, history and criticism, 20th century, Wells, h. g. (herbert george), 1866-1946, FICTION / Classics, FICTION / Science Fiction / General, FICTION / Horror, Juvenile fiction, Science, Roman pour la jeunesse, Comic and Graphic Books, Cartoons and comics, Comic books, strips, Animal experimentation, English language, French, Korean, German, Fiction, general, Fiction, historical, general, Elementary education of adults, Reading, remedial teaching, Spanish language, Readers, Horror tales, Psychological fiction, Scientists -- Fiction, Mentally ill -- Fiction, Science -- Experiments -- Fiction, Science -- Experiments",Fiction,childrens fiction,"adaptations, cartoons and comics, childrens fiction, classic literature, comic books, england, english fiction, english language, english literature, french, german, historical, history and criticism, horror tales, juvenile fiction, literature and fiction, psychological fiction, readers, science fiction, spanish language, strips","adaptations, cartoons and comics, childrens fiction, classics, comic books, england, english fiction, english language, english literature, french, german, historical, history and criticism, horror tales, juvenile fiction, literature and fiction, psychological fiction, readers, science fiction, spanish language, strips",childrens fiction
ä¸–ç•Œã®çµ‚ã‚Šã¨ãƒãƒ¼ãƒ‰ãƒœã‚¤ãƒ«ãƒ‰ãƒ»ãƒ¯ãƒ³ãƒ€ãƒ¼ãƒ©ãƒ³ãƒ‰ [Sekai no owari to hÄdoboirudo wandÄrando],"Haruki Murakami, Alfred Birnbaum",eng,1985,genre fiction,38016.0,,Unknown,,,,
